Distrito;Nome;display_name;quantidade;soma;media;desvpad popul;desvpad_amostral;QTLINBUS2018;KMLINBUS2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;TEMP2010_5MIN;TEMP2010_30MIN;TEMP2010_60MIN;TEMP2010_120MIN;TEMP2010_121MIN;TEMP2010_0MIN;PDOMC2010;PDOMM2010
355030842;Jaraguá;UberX;20855;7346220;352;177,7234379;177,7319602;29;120,457;104;0;558,07;6,57;54203;8250,076104;19272;1482;17864;0,476480171;0,02;0,18;0,15;0,07;0,01;0,58;0,128265348;0,560476618
355030843;Jardim Ângela;UberX;28093;10031940;357;186,1905807;186,1972086;96;495,637;418;0;427,48;28,12;207640;7384,068279;65051;1563;15038;0,601900339;0,01;0,07;0,13;0,11;0,02;0,67;0,089486721;0,449302098
355030844;Jardim Helena;UberX;7034;1633740;232;122,0552882;122,0726429;111;613,041;375;0;416,47;37,05;329893;8903,994602;107819;810;6964;0,547899844;0,01;0,04;0,08;0,13;0,06;0,68;0,096858494;0,306331841
355030845;Jardim Paulista;UberX;4435;809760;182;81,72821495;81,74664711;25;134,006;148;0;4706,67;9,15;135109;14766,01093;41241;7997;151715;0,085845429;0,01;0,06;0,09;0,11;0,03;0,71;0,072220261;0,352132696
355030846;Jardim São Luís;UberX;19028;5850480;307;190,7070455;190,7170685;191;334,659;82;0;599,11;6,25;90455;14472,8;42464;2511;37647;0,513732417;0,02;0,17;0,11;0,03;0;0,67;0,063600454;0,791526764
355030847;José Bonifácio;UberX;10886;2829060;259;114,8459275;114,8564783;103;303,986;226;0;570,02;14,47;134369;9286,040083;44886;642;11231;0,477417482;0,01;0,06;0,09;0,14;0,04;0,66;0,069774117;0,440215724
355030896;Lajeado;UberX;6857;1584720;231;95,14176179;95,15563894;68;209,629;191;0;412,35;8,89;172402;19392,8009;53793;984;9590;0,562955217;0,01;0,06;0,09;0,12;0,03;0,69;0,071935212;0,376718917
355030848;Lapa;UberX;7532;1413540;187;82,37734414;82,38828257;204;717,333;262;0;2463,04;10,28;67063;6523,638132;25363;5033;110796;0,107470451;0,02;0,16;0,13;0,06;0;0,63;0,073104865;0,720909991
355030849;Liberdade;UberX;2601;497100;191;82,61034537;82,64211858;94;180,476;106;2;2101,8;3,65;72206;19782,46575;30441;2585;50654;0,179601112;0,03;0,18;0,12;0,04;0;0,63;0,065830855;0,566418807
355030850;Limão;UberX;3651;732480;200;82,52947179;82,5520826;97;252,738;161;0;957,94;6,39;79567;12451,79969;25771;1577;24799;0,329332286;0,02;0,13;0,14;0,07;0,01;0,63;0,087388875;0,564715866
355030851;Mandaqui;UberX;9613;3410040;354;225,8265987;225,8500929;65;191,127;186;0;1264,58;13,23;109031;8241,194255;38061;1698;17186;0,243985871;0,02;0,08;0,1;0,07;0,01;0,72;0,092047837;0,643505846
355030852;Marsilac;UberX;36207;35166300;971;229,9184493;229,9247996;10;39,62;48;0;347,37;208,26;8370;40,19014693;2631;24;90;0,493944954;0,01;0,04;0,06;0,07;0,07;0,74;0,075500778;0,310740602
355030832;Moema;UberX;6535;1182120;180;84,29119997;84,30410037;141;481,985;139;1;4967,83;9,13;88515;9694,961665;38840;6753;89857;0,058811534;0,02;0,18;0,13;0,03;0;0,63;0,095080861;0,866330522
355030853;Mooca;UberX;5711;1122660;196;84,7933045;84,80815447;108;252,258;162;1;1891,78;7,97;79662;9995,23212;28724;3849;61900;0,124121811;0,03;0,14;0,14;0,06;0,01;0,63;0,065491511;0,692347991
355030854;Morumbi;UberX;8637;1908120;220;101,1423847;101,1540964;66;265,224;101;0;4085,4;11,47;51914;4526,068003;17713;1807;50501;0,204046391;0,01;0,11;0,12;0,05;0,01;0,69;0,128002052;0,768347019
355030855;Parelheiros;UberX;93392;64840980;694;289,4981884;289,5012883;95;610,274;378;0;404,18;152,34;149108;978,7842983;46156;730;6660;0,57393587;0,02;0,04;0,06;0,11;0,08;0,7;0,107082102;0,369088691
355030856;Pari;UberX;1960;386040;196;82,38621323;82,42826847;54;72,978;50;0;963,3;2,71;18752;6919,557196;6159;2194;25580;0,350135846;0,05;0,23;0,09;0,04;0;0,59;0,061658015;0,423471781
355030857;Parque do Carmo;UberX;11788;3122160;264;126,779718;126,7904739;79;237,999;170;0;673,22;15,66;71087;4539,399745;22930;831;18048;0,407485109;0,02;0,06;0,1;0,1;0,02;0,7;0,078219348;0,509594011
355030858;Pedreira;UberX;13623;4554180;334;164,4672722;164,4793459;77;304,729;188;0;523,53;18,41;157688;8565,344921;51076;780;8470;0,524957722;0,01;0,07;0,1;0,09;0,02;0,7;0,112427038;0,394251218
355030859;Penha;UberX;8569;1535220;179;77,99652458;78,00562782;163;646,451;327;0;1030,15;11,44;128981;11274,56294;44268;3442;39455;0,240267564;0,02;0,09;0,12;0,07;0,01;0,69;0,075759919;0,565363795
355030860;Perdizes;UberX;4494;799200;177;78,30391758;78,32134556;131;197,337;133;2;3300,27;6,31;114314;18116,3233;47623;4360;47772;0,094718471;0,02;0,17;0,16;0,04;0;0,61;0,070104938;0,798751155
355030861;Perus;UberX;18139;6631140;365;182,2394861;182,2495335;25;187,721;178;0;473,22;23,44;87474;3731,825939;26866;653;5102;0,489732522;0,01;0,05;0,12;0,09;0,01;0,71;0,064372995;0,426323924
355030862;Pinheiros;UberX;5861;1058820;180;79,1964896;79,21000436;247;630,834;164;3;3727,36;8,27;65882;7966,384522;28709;8330;122017;0,111480025;0,02;0,18;0,11;0,02;0,01;0,65;0,08331426;0,735005038
355030863;Pirituba;UberX;12762;3243600;254;119,6529164;119,6622929;116;552,45;362;0;965,08;17,1;170644;9979,181287;57680;2442;22273;0,313622857;0,02;0,11;0,15;0,08;0,01;0,63;0,090890105;0,564579331
355030864;Ponte Rasa;UberX;5041;878100;174;67,44042444;67,45380548;124;407,461;194;0;771,61;6,55;90513;13818,77863;29443;1259;9456;0,352674292;0,02;0,09;0,13;0,09;0,01;0,67;0,092675453;0,545059193
355030865;Raposo Tavares;UberX;9669;2602680;269;121,2031436;121,2156801;48;314,911;188;0;791,42;12,26;106046;8649,755302;34047;1104;16257;0,466165489;0,01;0,09;0,14;0,11;0,01;0,63;0,099929899;0,484751263
355030866;República;UberX;1709;353340;206;89,65990061;89,7123947;255;359,8;148;5;1529,97;2,3;61123;26575,21739;30141;8469;144363;0,305873888;0,03;0,24;0,12;0,02;0;0,57;0,037389563;0,292008715
355030867;Rio Pequeno;UberX;7359;1784400;242;104,6792124;104,693439;51;220,212;173;0;1348,58;9,68;122764;12682,2314;40553;1724;16278;0,32642973;0,02;0,13;0,16;0,07;0,01;0,62;0,10959263;0,608296686
355030868;Sacomã;UberX;10031;2175180;216;93,74889115;93,758238;63;294,218;332;0;913,19;14,59;260767;17872,9952;90337;2911;35583;0,320918616;0,02;0,13;0,14;0,07;0,01;0,62;0,105245354;0,559737256
355030869;Santa Cecília;UberX;2669;529320;198;81,49704608;81,5275922;141;282,954;124;2;2229,71;3,79;87820;23171,50396;39630;3803;64080;0,198812666;0,04;0,2;0,12;0,03;0;0,6;0,052103747;0,523721349
355030870;Santana;UberX;9619;1896840;197;89,59998019;89,60929605;179;609,995;284;4;2026,32;13,14;114204;8691,324201;41159;5825;72234;0,139359135;0,02;0,12;0,13;0,06;0,01;0,67;0,0714659;0,67166312
355030871;Santo Amaro;UberX;11462;2283900;199;85,8246949;85,83218331;360;1248,113;352;5;3033,75;15,94;74139;4651,129235;27202;6812;155475;0,10387831;0,03;0,15;0,13;0,06;0,01;0,62;0,092472295;0,790367154
355030895;São Domingos;UberX;7867;1888500;240;110,2392199;110,2532345;51;217,992;171;0;931,27;9,83;86112;8760,122075;28908;1526;26493;0,320551207;0,02;0,11;0,11;0,06;0,01;0,69;0,09913346;0,595234961
355030872;São Lucas;UberX;7202;1494360;207;87,96482603;87,97704167;95;350,8;254;1;880,15;9,67;142954;14783,24716;48929;2186;18310;0,244149859;0,02;0,11;0,12;0,07;0,01;0,66;0,077513481;0,600429866
355030873;São Mateus;UberX;9524;2040660;214;85,79834531;85,8073549;163;528,851;314;0;607,69;12,83;155189;12095,79111;50183;2300;23195;0,375183705;0,02;0,08;0,11;0,09;0,02;0,69;0,084003819;0,50662857
355030874;São Miguel;UberX;6543;1306500;199;92,46776043;92,48189491;144;418,067;160;0;602,38;7,65;89552;11706,14379;28178;1702;14957;0,441903148;0,02;0,09;0,1;0,12;0,02;0,66;0,070601236;0,437066254
355030875;São Rafael;UberX;9928;3127680;315;134,3457102;134,3592436;37;187,947;163;0;451,95;13,1;156616;11955,41985;49024;924;7735;0,480095287;0,02;0,07;0,1;0,11;0,04;0,67;0,086222994;0,430924082
355030876;Sapopemba;UberX;6283;1368540;217;87,8393264;87,8533091;119;544,748;361;0;544,94;13,48;288801;21424,40653;93088;2230;27249;0,417886002;0,02;0,08;0,13;0,1;0,02;0,65;0,088903215;0,462999981
355030877;Saúde;UberX;6629;1153200;173;71,35648257;71,36724848;102;285,423;211;3;2569,83;9,23;133735;14489,16576;53072;5263;82477;0,109527852;0,02;0,14;0,16;0,04;0;0,64;0,074209925;0,749000114
355030878;Sé;UberX;1612;373380;231;102,7951228;102,8589311;280;392,345;141;5;909,48;2,17;26154;12052,53456;10636;6685;91290;0,38470373;0,03;0,2;0,15;0,02;0;0,6;0,049730734;0,282605812
